rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,AOV.AX,AMOTIV LTD,6.41,857978240,-13.5,-10.47,-1.84,9.44,1D <= -7.0%,,"Why Are Amotiv (ASX:AOV) Shares Still Lower Over the Past Year? - Kalkine | Amotiv Ltd FY26 earnings steady, dividend lifted - The Motley Fool Australia | Amotiv (ASX:AOV) Targets FY27 Growth as Offshore Expansion and Operational Efficiencies Gather Pace - Kalkine | Favourable Signals For Amotiv: Numerous Insiders Acquired Stock - simplywall.st | AOV Forecast — Price Target — Prediction for 2027 - TradingView",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,ARF.AX,ARENA REIT,2.24,914584320,-12.5,-30.65,-31.08,8.78,1D <= -7.0%; 5D <= -12.0%; 20D <= -20.0%,default,"Arena REIT Shares Decline Today – Here’s Why - Kalkine | Arena REIT postpones FY2026 earnings result as Edge Early Learning seeks rent relief - The Motley Fool Australia | Does Arena REIT (ASX:ARF) Face Deeper Tenant-Quality Questions After Edge Early Learning Rent Default? - simplywall.st | Arena REIT securities plunge 22pc after childcare tenant Edge Early Learning fails to pay rent - Business News Australia | Lunch Wrap: Westpac slides on mortgage slump, Arena REIT cops rent shock - stockhead.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,SGH.AX,SGH LTD,41.58,16922984448,-10.27,-8.68,-4.7,8.8,1D <= -7.0%,,"SGH Ltd posts strong FY26 profit despite revenue dip - The Motley Fool Australia | SGH Ltd Reports FY26 Earnings in Line with Guidance, Announces Share Buy-back - Sharecafe | SGH Limited Announces Ordinary Dividend for Half-Year Ending 30 June 2026 - Kalkine Media | What Sent SGH Ltd (ASX:SGH) Stock Higher Today? - Kalkine | SGH Ltd Announces FY2026 Net Profit Surge to $689.2 Million Despite Slight Revenue Decline - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,4DX.AX,4DMEDICAL LTD,4.08,2446526464,-7.27,-5.12,4.35,1.03,1D <= -7.0%,,"4DMedical Ltd (ASX:4DX) Share Price Update: Trading Snapshot for 11 August 2026 - Kalkine | Why this expert is betting against 4DMedical and DroneShield shares - The Motley Fool Australia | 4DMedical (ASX:4DX) Ends Lower as Markets Review Emerging Healthcare Technology Opportunities - Kalkine | 4DMEDICAL Ltd (ASX: 4DX) Share Price Update: Stock Movement and Health Care Sector Trends on August 7, 2026 - Kalkine | Why Is 4DMedical (ASX:4DX) in Focus After Today’s Share Price Movement? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,DTR.AX,DATELINE RESOURCES LTD,0.12,501791936,0.0,0.0,-21.87,0.0,20D <= -20.0%,suspended,Why Dateline Resources (ASX:DTR) Stock Is Under Pressure - Kalkine | A Look At Dateline Resources (ASX:DTR) Valuation After A$50 Million Equity Raise For Colosseum Project - simplywall.st | Dateline Resources Suspended from ASX Trading Pending US Court Decision on Colosseum Project - Kalkine | Why Is Dateline Resources (ASX:DTR) Stock Up 8% Today? - Kalkine | Dateline Resources (ASX: DTR) Crashes 16.67%—What Triggered the Sharp Sell-Off? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,WBT.AX,WEEBIT NANO LTD,4.44,1067499392,3.02,1.37,-36.57,1.06,20D <= -20.0%,,"Weebit Nano (ASX:WBT): Why Is Stock Plunging Today? - Kalkine | Stock of the day: Weebit Nano - ig.com | Up 300% in a year, this ASX tech stock just hit its highest level since 2023 - The Motley Fool Australia | The ASX 200's best-performing stocks in 2026 - are any still a Buy? - Livewire Markets | Weebit Nano (ASX:WBT) Retreats Slightly as Semiconductor Stocks Pull Back - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
