ticker,company,observed_on
MTS.AX,METCASH LTD,2026-09-25
MND.AX,MONADELPHOUS GROUP LTD,2026-09-25
BRG.AX,BREVILLE GROUP LTD,2026-09-25
NHC.AX,NEW HOPE CORP LTD,2026-09-25
CNU.AX,CHORUS LTD,2026-09-25
ZIP.AX,ZIP CO LTD,2026-09-25
RGN.AX,REGION GROUP,2026-09-25
ILU.AX,ILUKA RESOURCES LTD,2026-09-25
DBI.AX,DALRYMPLE BAY INFRASTRUCTURE,2026-09-25
NEU.AX,NEUREN PHARMACEUTICALS LTD,2026-09-25
NWL.AX,NETWEALTH GROUP LTD,2026-09-25
CLW.AX,CHARTER HALL LONG WALE REIT,2026-09-25
TPG.AX,TPG TELECOM LTD,2026-09-25
BGL.AX,BELLEVUE GOLD LTD,2026-09-25
RSG.AX,RESOLUTE MINING LTD,2026-09-25
SRG.AX,SRG GLOBAL LTD,2026-09-25
4DX.AX,4DMEDICAL LTD,2026-09-25
EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,2026-09-25
HVN.AX,HARVEY NORMAN HOLDINGS LTD,2026-09-25
CQR.AX,CHARTER HALL RETAIL REIT,2026-09-25
LTR.AX,LIONTOWN LTD,2026-09-25
SRL.AX,SUNRISE ENERGY METALS LTD,2026-09-25
PNI.AX,PINNACLE INVESTMENT MANAGEME,2026-09-25
YAL.AX,YANCOAL AUSTRALIA LTD,2026-09-25
OBM.AX,ORA BANDA MINING LTD,2026-09-25
BWP.AX,BWP PROPERTY GROUP LTD,2026-09-25
TAH.AX,TABCORP HOLDINGS LTD,2026-09-25
MI6.AX,MINERALS 260 LTD,2026-09-25
ALK.AX,ALKANE RESOURCES LTD,2026-09-25
PYC.AX,PYC THERAPEUTICS LTD,2026-09-25
PRN.AX,PERENTI LTD,2026-09-25
CIP.AX,CENTURIA INDUSTRIAL REIT,2026-09-25
PPT.AX,PERPETUAL LTD,2026-09-25
SUL.AX,SUPER RETAIL GROUP LTD,2026-09-25
ALX.AX,ATLAS ARTERIA,2026-09-25
DDR.AX,DICKER DATA LTD,2026-09-25
DRR.AX,DETERRA ROYALTIES LTD,2026-09-25
MSB.AX,MESOBLAST LTD,2026-09-25
NIC.AX,NICKEL INDUSTRIES LTD,2026-09-25
HDN.AX,HOMECO DAILY NEEDS REIT,2026-09-25
INA.AX,INGENIA COMMUNITIES GROUP,2026-09-25
ORA.AX,ORORA LTD,2026-09-25
CYL.AX,CATALYST METALS LTD,2026-09-25
LOV.AX,LOVISA HOLDINGS LTD,2026-09-25
FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,2026-09-25
IMD.AX,IMDEX LTD,2026-09-25
BGA.AX,BEGA CHEESE LTD,2026-09-25
EVT.AX,EVT LTD,2026-09-25
DTL.AX,DATA#3 LTD,2026-09-25
HLI.AX,HELIA GROUP LTD,2026-09-25
MLX.AX,METALS X LTD,2026-09-25
LLC.AX,LENDLEASE GROUP,2026-09-25
EQR.AX,EQ RESOURCES LTD,2026-09-25
SIQ.AX,SMARTGROUP CORP LTD,2026-09-25
SSM.AX,SERVICE STREAM LTD,2026-09-25
ASB.AX,AUSTAL LTD,2026-09-25
CXO.AX,CORE LITHIUM LTD,2026-09-25
BPT.AX,BEACH ENERGY LTD,2026-09-25
WPR.AX,WAYPOINT REIT,2026-09-25
WEB.AX,WEB TRAVEL GROUP LTD,2026-09-25
SLC.AX,SUPERLOOP LTD,2026-09-25
ARB.AX,ARB CORP LTD,2026-09-25
KCN.AX,KINGSGATE CONSOLIDATED LTD,2026-09-25
DRO.AX,DRONESHIELD LTD,2026-09-25
FFM.AX,FIREFLY METALS LTD,2026-09-25
ELD.AX,ELDERS LTD,2026-09-25
KAR.AX,KAROON ENERGY LTD,2026-09-25
GYG.AX,GUZMAN Y GOMEZ LTD,2026-09-25
CIA.AX,CHAMPION IRON LTD,2026-09-25
DYL.AX,DEEP YELLOW LTD,2026-09-25
SXE.AX,SOUTHERN CROSS ELECTRICAL,2026-09-25
MFG.AX,MAGELLAN FINANCIAL GROUP LTD,2026-09-25
DVP.AX,DEVELOP GLOBAL LTD,2026-09-25
GNC.AX,GRAINCORP LTD-A,2026-09-25
NUF.AX,NUFARM LTD,2026-09-25
GDG.AX,GENERATION DEVELOPMENT GROUP,2026-09-25
IRE.AX,IRESS LTD,2026-09-25
MAH.AX,MACMAHON HOLDINGS LTD,2026-09-25
CBO.AX,COBRAM ESTATE OLIVES LTD,2026-09-25
TEA.AX,TASMEA LTD,2026-09-25
MGH.AX,MAAS GROUP HOLDINGS LTD,2026-09-25
PMV.AX,PREMIER INVESTMENTS LTD,2026-09-25
DMP.AX,DOMINO'S PIZZA ENTERPRISES L,2026-09-25
NCK.AX,NICK SCALI LTD,2026-09-25
BVS.AX,BRAVURA SOLUTIONS LTD,2026-09-25
ELV.AX,ELEVRA LITHIUM LTD,2026-09-25
PNR.AX,PANTORO GOLD LTD,2026-09-25
REG.AX,REGIS HEALTHCARE LTD,2026-09-25
CNI.AX,CENTURIA CAPITAL GROUP,2026-09-25
MMS.AX,MCMILLAN SHAKESPEARE LTD,2026-09-25
CCL.AX,CUSCAL LTD,2026-09-25
ABB.AX,AUSSIE BROADBAND LTD,2026-09-25
JDO.AX,JUDO CAPITAL HOLDINGS LTD,2026-09-25
SBM.AX,ST BARBARA LTD,2026-09-25
SLX.AX,SILEX SYSTEMS LTD,2026-09-25
DGT.AX,DIGICO INFRASTRUCTURE REIT,2026-09-25
ELS.AX,ELSIGHT LTD,2026-09-25
SMR.AX,STANMORE RESOURCES LTD,2026-09-25
IDX.AX,INTEGRAL DIAGNOSTICS LTD,2026-09-25
IPX.AX,IPERIONX LTD,2026-09-25
CAT.AX,CATAPULT SPORTS LTD,2026-09-25
A4N.AX,ALPHA HPA LTD,2026-09-25
LIN.AX,LINDIAN RESOURCES LTD,2026-09-25
VUL.AX,VULCAN ENERGY RESOURCES LTD,2026-09-25
CQE.AX,CHARTER HALL SOCIAL INFRASTR,2026-09-25
MYS.AX,MYSTATE LTD,2026-09-25
L1G.AX,L1 GROUP LTD,2026-09-25
RFF.AX,RURAL FUNDS TRUST,2026-09-25
DXI.AX,DEXUS INDUSTRIA REIT,2026-09-25
ING.AX,INGHAMS GROUP LTD,2026-09-25
PWH.AX,PWR HOLDINGS LTD,2026-09-25
APZ.AX,ASPEN GROUP,2026-09-25
VGN.AX,VIRGIN AUSTRALIA HOLDINGS LT,2026-09-25
CKF.AX,COLLINS FOODS LTD,2026-09-25
NAN.AX,NANOSONICS LTD,2026-09-25
KLS.AX,KELSIAN GROUP LTD,2026-09-25
SNL.AX,SUPPLY NETWORK LTD,2026-09-25
SDR.AX,SITEMINDER LTD,2026-09-25
IPH.AX,IPH LTD,2026-09-25
OML.AX,OOH!MEDIA LTD,2026-09-25
WBT.AX,WEEBIT NANO LTD,2026-09-25
BMN.AX,BANNERMAN ENERGY LTD,2026-09-25
BC8.AX,BLACK CAT SYNDICATE LTD,2026-09-25
PXA.AX,PEXA GROUP LTD,2026-09-25
ARU.AX,ARAFURA RARE EARTHS LTD,2026-09-25
GNP.AX,GENUSPLUS GROUP LTD,2026-09-25
CCP.AX,CREDIT CORP GROUP LTD,2026-09-25
GLF.AX,GEMLIFE COMMUNITIES GROUP,2026-09-25
AOV.AX,AMOTIV LTD,2026-09-25
BOE.AX,BOSS ENERGY LTD,2026-09-25
FPR.AX,FLEETPARTNERS GROUP LTD,2026-09-25
RIC.AX,RIDLEY CORP LTD,2026-09-25
NEC.AX,NINE ENTERTAINMENT CO HOLDIN,2026-09-25
ARF.AX,ARENA REIT,2026-09-25
HMC.AX,HMC CAPITAL LTD,2026-09-25
MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,2026-09-25
VSL.AX,VULCAN STEEL LTD,2026-09-25
COF.AX,CENTURIA OFFICE REIT,2026-09-25
GOZ.AX,GROWTHPOINT PROPERTIES AUSTR,2026-09-25
IPG.AX,IPD GROUP LTD,2026-09-25
MAF.AX,MA FINANCIAL GROUP LTD,2026-09-25
CWP.AX,CEDAR WOODS PROPERTIES LTD,2026-09-25
HSN.AX,HANSEN TECHNOLOGIES LTD,2026-09-25
ACL.AX,AUSTRALIAN CLINICAL LABS LTD,2026-09-25
NXL.AX,NUIX LTD,2026-09-25
GWA.AX,GWA GROUP LTD,2026-09-25
BRE.AX,BRAZILIAN RARE EARTHS LTD,2026-09-25
RPL.AX,REGAL PARTNERS LTD,2026-09-25
TPW.AX,TEMPLE & WEBSTER GROUP LTD,2026-09-25
RDX.AX,REDOX LTD/AUSTRALIA,2026-09-25
SKS.AX,SKS TECHNOLOGIES GROUP LTD,2026-09-25
NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,2026-09-25
WGN.AX,WAGNERS HOLDING CO LTD,2026-09-25
SKG.AX,STORAGE KING GROUP,2026-09-25
IEL.AX,IDP EDUCATION LTD,2026-09-25
AEL.AX,AMPLITUDE ENERGY LTD,2026-09-25
GNG.AX,GR ENGINEERING SERVICES LTD,2026-09-25
BCI.AX,BCI MINERALS LTD,2026-09-25
CMW.AX,CROMWELL PROPERTY GROUP,2026-09-25
CHN.AX,CHALICE MINING LTD,2026-09-25
CU6.AX,CLARITY PHARMACEUTICALS LTD,2026-09-25
LIC.AX,LIFESTYLE COMMUNITIES LTD,2026-09-25
TUA.AX,TUAS LTD,2026-09-25
EQT.AX,EQT HOLDINGS LTD,2026-09-25
WA1.AX,WA1 RESOURCES LTD,2026-09-25
PNV.AX,POLYNOVO LTD,2026-09-25
LYL.AX,LYCOPODIUM LTD,2026-09-25
SHV.AX,SELECT HARVESTS LTD,2026-09-25
CVL.AX,CIVMEC LTD,2026-09-25
C79.AX,CHRYSOS CORP LTD,2026-09-25
AEF.AX,AUSTRALIAN ETHICAL INVT LTD,2026-09-25
OCL.AX,OBJECTIVE CORPORATION LTD,2026-09-25
JIN.AX,JUMBO INTERACTIVE LTD,2026-09-25
BLX.AX,BEACON LIGHTING GROUP LTD,2026-09-25
CUV.AX,CLINUVEL PHARMACEUTICALS LTD,2026-09-25
EHL.AX,EMECO HOLDINGS LTD,2026-09-25
ABG.AX,ABACUS GROUP,2026-09-25
MYR.AX,MYER HOLDINGS LTD,2026-09-25
AX1.AX,ACCENT GROUP LTD,2026-09-25
PPM.AX,PEPPER MONEY LTD/AU,2026-09-25
GTK.AX,GENTRACK GROUP LTD,2026-09-25
AFG.AX,AUSTRALIAN FINANCE GROUP LTD,2026-09-25
FML.AX,FOCUS MINERALS LTD,2026-09-25
JMS.AX,JUPITER MINES LTD,2026-09-25
MAD.AX,MADER GROUP LTD,2026-09-25
EIQ.AX,ECHOIQ LTD,2026-09-25
MGX.AX,MGX RESOURCES LTD,2026-09-25
AAC.AX,AUSTRALIAN AGRICULTURAL CO,2026-09-25
TVN.AX,TIVAN LTD,2026-09-25
INR.AX,IONEER LTD,2026-09-25
TYR.AX,TYRO PAYMENTS LTD,2026-09-25
HCW.AX,HEALTHCO REIT,2026-09-25
QAL.AX,QUALITAS LTD,2026-09-25
PFP.AX,PROPEL FUNERAL PARTNERS LTD,2026-09-25
