ticker,company,observed_on
BHP.AX,BHP GROUP LTD,2026-09-25
CBA.AX,COMMONWEALTH BANK OF AUSTRAL,2026-09-25
NAB.AX,NATIONAL AUSTRALIA BANK LTD,2026-09-25
WBC.AX,WESTPAC BANKING CORP,2026-09-25
ANZ.AX,ANZ GROUP HOLDINGS LTD,2026-09-25
CSL.AX,CSL LTD,2026-09-25
MQG.AX,MACQUARIE GROUP LTD,2026-09-25
WES.AX,WESFARMERS LTD,2026-09-25
RIO.AX,RIO TINTO LTD,2026-09-25
WDS.AX,WOODSIDE ENERGY GROUP LTD,2026-09-25
TLS.AX,TELSTRA GROUP LTD,2026-09-25
GMG.AX,GOODMAN GROUP,2026-09-25
WOW.AX,WOOLWORTHS GROUP LTD,2026-09-25
TCL.AX,TRANSURBAN GROUP,2026-09-25
QBE.AX,QBE INSURANCE GROUP LTD,2026-09-25
ALL.AX,ARISTOCRAT LEISURE LTD,2026-09-25
NST.AX,NORTHERN STAR RESOURCES LTD,2026-09-25
COL.AX,COLES GROUP LTD,2026-09-25
EVN.AX,EVOLUTION MINING LTD,2026-09-25
STO.AX,SANTOS LTD,2026-09-25
FMG.AX,FORTESCUE LTD,2026-09-25
BXB.AX,BRAMBLES LTD,2026-09-25
S32.AX,SOUTH32 LTD,2026-09-25
CPU.AX,COMPUTERSHARE LTD,2026-09-25
SUN.AX,SUNCORP GROUP LTD,2026-09-25
ORG.AX,ORIGIN ENERGY LTD,2026-09-25
SCG.AX,SCENTRE GROUP,2026-09-25
IAG.AX,INSURANCE AUSTRALIA GROUP,2026-09-25
SOL.AX,WASHINGTON H SOUL PATTINSON,2026-09-25
APA.AX,APA GROUP,2026-09-25
QAN.AX,QANTAS AIRWAYS LTD,2026-09-25
SIG.AX,SIGMA HEALTHCARE LTD,2026-09-25
LYC.AX,LYNAS RARE EARTHS LTD,2026-09-25
PLS.AX,PLS GROUP LTD,2026-09-25
BSL.AX,BLUESCOPE STEEL LTD,2026-09-25
MPL.AX,MEDIBANK PRIVATE LTD,2026-09-25
ASX.AX,ASX LTD,2026-09-25
ORI.AX,ORICA LTD,2026-09-25
TLC.AX,LOTTERY CORP LTD/THE,2026-09-25
ALD.AX,AMPOL LTD,2026-09-25
ALQ.AX,ALS LTD,2026-09-25
SFR.AX,SANDFIRE RESOURCES LTD,2026-09-25
RHC.AX,RAMSAY HEALTH CARE LTD,2026-09-25
SGP.AX,STOCKLAND,2026-09-25
XRO.AX,XERO LTD,2026-09-25
COH.AX,COCHLEAR LTD,2026-09-25
MIN.AX,MINERAL RESOURCES LTD,2026-09-25
PRU.AX,PERSEUS MINING LTD,2026-09-25
VCX.AX,VICINITY CENTRES,2026-09-25
SHL.AX,SONIC HEALTHCARE LTD,2026-09-25
PME.AX,PRO MEDICUS LTD,2026-09-25
TNE.AX,TECHNOLOGY ONE LTD,2026-09-25
NXT.AX,NEXTDC LTD,2026-09-25
CHC.AX,CHARTER HALL GROUP,2026-09-25
GPT.AX,GPT GROUP,2026-09-25
CAR.AX,CAR GROUP LTD,2026-09-25
GMD.AX,GENESIS MINERALS LTD,2026-09-25
RMS.AX,RAMELIUS RESOURCES LTD,2026-09-25
JBH.AX,JB HI-FI LTD,2026-09-25
MGR.AX,MIRVAC GROUP,2026-09-25
SGH.AX,SGH LTD,2026-09-25
REA.AX,REA GROUP LTD,2026-09-25
VAU.AX,VAULT MINERALS LTD,2026-09-25
DNL.AX,DYNO NOBEL LTD,2026-09-25
WTC.AX,WISETECH GLOBAL LTD,2026-09-25
AZJ.AX,AURIZON HOLDINGS LTD,2026-09-25
CMM.AX,CAPRICORN METALS LTD,2026-09-25
AMP.AX,AMP LTD,2026-09-25
SDF.AX,STEADFAST GROUP LTD,2026-09-25
CDA.AX,CODAN LTD,2026-09-25
CWY.AX,CLEANAWAY WASTE MANAGEMENT L,2026-09-25
ANN.AX,ANSELL LTD,2026-09-25
BEN.AX,BENDIGO AND ADELAIDE BANK,2026-09-25
DXS.AX,DEXUS/AU,2026-09-25
RRL.AX,REGIS RESOURCES LTD,2026-09-25
WHC.AX,WHITEHAVEN COAL LTD,2026-09-25
GGP.AX,GREATLAND RESOURCES LTD,2026-09-25
CGF.AX,CHALLENGER LTD,2026-09-25
WGX.AX,WESTGOLD RESOURCES LTD,2026-09-25
AGL.AX,AGL ENERGY LTD,2026-09-25
HUB.AX,HUB24 LTD,2026-09-25
MP1.AX,MEGAPORT LTD,2026-09-25
VNT.AX,VENTIA SERVICES GROUP PTY LT,2026-09-25
IGO.AX,IGO LTD,2026-09-25
DOW.AX,DOWNER EDI LTD,2026-09-25
A2M.AX,A2 MILK CO LTD,2026-09-25
EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,2026-09-25
WOR.AX,WORLEY LTD,2026-09-25
TLX.AX,TELIX PHARMACEUTICALS LTD,2026-09-25
BOQ.AX,BANK OF QUEENSLAND LTD,2026-09-25
PDN.AX,PALADIN ENERGY LTD,2026-09-25
REH.AX,REECE LTD,2026-09-25
SGM.AX,SIMS LTD,2026-09-25
PDI.AX,PREDICTIVE DISCOVERY LTD,2026-09-25
SEK.AX,SEEK LTD,2026-09-25
TWE.AX,TREASURY WINE ESTATES LTD,2026-09-25
EMR.AX,EMERALD RESOURCES NL,2026-09-25
RWC.AX,RELIANCE WORLDWIDE CORP LTD,2026-09-25
VEA.AX,VIVA ENERGY GROUP LTD,2026-09-25
AUB.AX,AUB GROUP LTD,2026-09-25
NWH.AX,NRW HOLDINGS LTD,2026-09-25
APE.AX,EAGERS AUTOMOTIVE LTD,2026-09-25
NHF.AX,NIB HOLDINGS LTD,2026-09-25
