source_name,source_sedol,ticker,company,mapping_source
WESTGOLD RESOURC,BYVQ673,WGX.AX,WESTGOLD RESOURCES LTD,openfigi
DOWNER EDI LTD,6465573,DOW.AX,DOWNER EDI LTD,openfigi
REGIS RESOURCES,6476542,RRL.AX,REGIS RESOURCES LTD,openfigi
SEEK LTD,B0767Y3,SEK.AX,SEEK LTD,openfigi
WORLEY LTD,6562474,WOR.AX,WORLEY LTD,openfigi
IGO LTD,6439567,IGO.AX,IGO LTD,openfigi
CLEANAWAY WASTE,BYQ8KW7,CWY.AX,CLEANAWAY WASTE MANAGEMENT L,openfigi
ANSELL LTD,6286611,ANN.AX,ANSELL LTD,openfigi
AGL ENERGY LTD,BSS7GP5,AGL.AX,AGL ENERGY LTD,openfigi
CHALLENGER LTD,6726300,CGF.AX,CHALLENGER LTD,openfigi
A2 MILK CO LTD,BWSRTS7,A2M.AX,A2 MILK CO LTD,openfigi
MEGAPORT LTD,BZ5ZWZ3,MP1.AX,MEGAPORT LTD,openfigi
TELIX PHARMA,BF7M092,TLX.AX,TELIX PHARMACEUTICALS LTD,openfigi
VENTIA SERVICES,BNV08F0,VNT.AX,VENTIA SERVICES GROUP PTY LT,openfigi
BANK QUEENSLAND,6076243,BOQ.AX,BANK OF QUEENSLAND LTD,openfigi
CODAN LTD,6712611,CDA.AX,CODAN LTD,openfigi
REECE LTD,6728801,REH.AX,REECE LTD,openfigi
SIMS LTD,B0LCW75,SGM.AX,SIMS LTD,openfigi
EAGERS AUTO,6296201,APE.AX,EAGERS AUTOMOTIVE LTD,openfigi
PALADIN ENERGY,6668468,PDN.AX,PALADIN ENERGY LTD,openfigi
TREASURY WINE ES,B61JC67,TWE.AX,TREASURY WINE ESTATES LTD,openfigi
NIB HOLDINGS LTD,B28ZM60,NHF.AX,NIB HOLDINGS LTD,openfigi
AUB GROUP LTD,B0MBNC3,AUB.AX,AUB GROUP LTD,openfigi
ZIP CO LTD,BPP1Y77,ZIP.AX,ZIP CO LTD,openfigi
EMERALD RESOURCE,6107381,EMR.AX,EMERALD RESOURCES NL,openfigi
BREVILLE GROUP L,6158709,BRG.AX,BREVILLE GROUP LTD,openfigi
CHORUS LTD,B54F6S5,CNU.AX,CHORUS LTD,openfigi
METCASH LTD,B0744W4,MTS.AX,METCASH LTD,openfigi
PREDICTIVE DISCO,B3N05H9,PDI.AX,PREDICTIVE DISCOVERY LTD,openfigi
NRW HOLDINGS LTD,B23XW70,NWH.AX,NRW HOLDINGS LTD,openfigi
ILUKA RESOURCES,6957575,ILU.AX,ILUKA RESOURCES LTD,openfigi
NETWEALTH GROUP,BF52PL1,NWL.AX,NETWEALTH GROUP LTD,openfigi
PINNACLE INVESTM,BD0F7H1,PNI.AX,PINNACLE INVESTMENT MANAGEME,openfigi
CHARTER HLW REIT,BDB46J2,CLW.AX,CHARTER HALL LONG WALE REIT,openfigi
REGION GROUP,BPBMY63,RGN.AX,REGION GROUP,openfigi
MONADELPHOUS GRP,6600471,MND.AX,MONADELPHOUS GROUP LTD,openfigi
DALRYMPLE BAY IN,BNM6Z56,DBI.AX,DALRYMPLE BAY INFRASTRUCTURE,openfigi
RELIANCE WORLDWI,BD1DM79,RWC.AX,RELIANCE WORLDWIDE CORP LTD,openfigi
VIVA ENERGY GROU,BYQM3N1,VEA.AX,VIVA ENERGY GROUP LTD,openfigi
NEUREN PHARMACEU,B04LVF0,NEU.AX,NEUREN PHARMACEUTICALS LTD,openfigi
HARVEY NORMAN,6173508,HVN.AX,HARVEY NORMAN HOLDINGS LTD,openfigi
CHARTER HALL RET,6225595,CQR.AX,CHARTER HALL RETAIL REIT,openfigi
LIONTOWN LTD,B1J89V5,LTR.AX,LIONTOWN LTD,openfigi
NEW HOPE CORP LT,6681960,NHC.AX,NEW HOPE CORP LTD,openfigi
ATLAS ARTERIA,BZ03TZ1,ALX.AX,ATLAS ARTERIA,openfigi
4DMEDICAL LTD,BMX3786,4DX.AX,4DMEDICAL LTD,openfigi
TPG TELECOM LTD,BMB2257,TPG.AX,TPG TELECOM LTD,openfigi
LENDLEASE GROUP,6512004,LLC.AX,LENDLEASE GROUP,openfigi
HOMECO DAILY NEE,BNC0NF4,HDN.AX,HOMECO DAILY NEEDS REIT,openfigi
BELLEVUE GOLD LT,BFZ31P0,BGL.AX,BELLEVUE GOLD LTD,openfigi
YANCOAL AUSTRALI,B84LB45,YAL.AX,YANCOAL AUSTRALIA LTD,openfigi
BWP PROPERTY GRO,6127453,BWP.AX,BWP PROPERTY GROUP LTD,openfigi
FLIGHT CENTRE TR,6352147,FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,openfigi
SUPER RETAIL GRO,B01C7R0,SUL.AX,SUPER RETAIL GROUP LTD,openfigi
PERPETUAL LTD,6682394,PPT.AX,PERPETUAL LTD,openfigi
RESOLUTE MINING,6410636,RSG.AX,RESOLUTE MINING LTD,openfigi
PERENTI LTD,BKRKNV4,PRN.AX,PERENTI LTD,openfigi
IMDEX LTD,6462154,IMD.AX,IMDEX LTD,openfigi
CENTURIA INDUSTR,BD31FD8,CIP.AX,CENTURIA INDUSTRIAL REIT,openfigi
SRG GLOBAL LTD,BFMZB82,SRG.AX,SRG GLOBAL LTD,openfigi
DETERRA ROYALTIE,BJP5T05,DRR.AX,DETERRA ROYALTIES LTD,openfigi
TABCORP HLDGS,6873262,TAH.AX,TABCORP HOLDINGS LTD,openfigi
